wkt_geom,_record_id,_title,_server_up,_project,_assigned_,_updated_b,_latitude,_longitude,name,address,time,building_n,room_numbe,open_after,student_ru,total_numb,takes_cash,takes_watc,takes_debi,takes_cred,coffee_pri,coffee_p_1,coffee_p_2,tea_price_,chocolate_,can_of_pop,other_prod,muffin_pri,chocolat_1,atmosphere,photo_of_l
Point (-80.54623864619999551 43.47347377999999907),299c603f-78c3-4c11-9694-a5c2e033678a,AHS Starbucks,2018-09-27 18:58:23 EDT,,Pia Colynn Poblete,Pia Colynn Poblete,43.47347378,-80.54623865,AHS Starbucks,Ring Rd Waterloo ON N2L CA,16:57,Applied Health Science Building,,no,no,48,yes,yes,yes,no,1.95,2.45,2.85,2.45,0,2.59,"Chips/Snacks,Chocolate Bars,Cookies,Donuts,Muffins,Sandwiches/Wraps",2.65,2.45,8,https://web.fulcrumapp.com/photos/view?photos=01c3d1cc-e846-4dce-868f-82a4213cfeeb
Point (-80.54013898220000556 43.4694787869999999),e11180e8-aba2-4d0f-9184-d1167e9ce4b6,Brewed Awakening,2018-09-26 20:30:02 EDT,,Joonwoo Kim,Joonwoo Kim,43.46947879,-80.54013898,Brewed Awakening,Ring Rd Waterloo ON N2L CA,11:09,SCH,,no,no,38,yes,yes,yes,no,1.95,2.25,2.45,2.25,1.99,1.89,"Chips/Snacks,Cookies,Salads",0,2.59,7,https://web.fulcrumapp.com/photos/view?photos=5d61d409-c0e3-4879-a4e1-a01a724f77d2
Point (-80.54211630000000355 43.46971010000000035),6147f73b-cc43-49fe-b88c-7f8a7ede3f47,Browsers Café,2018-09-24 17:44:09 EDT,,William Anthony Wowk,William Anthony Wowk,43.4697101,-80.5421163,Browsers Café,Waterloo Ontario N2L 3G1 Canada,17:35,Dana Porter Library,,yes,no,64,yes,yes,yes,no,1.95,2.25,2.35,2.25,2.39,2.79,"Bagels,Donuts,Salads,Sandwiches/Wraps",2.19,1.19,8,https://web.fulcrumapp.com/photos/view?photos=5d27c2aa-666f-4b81-b2c7-90d3944f9802
Point (-80.54225304480000602 43.47147967210000274),bf5df94a-ba86-421c-a301-04c14c066972,CEIT Cafe,2018-09-26 20:30:00 EDT,,Joonwoo Kim,Joonwoo Kim,43.47147967,-80.54225304,CEIT Cafe,200 University Ave W Waterloo ON N2L CA,10:27,EIT,,no,no,37.5,yes,yes,yes,no,1.95,2.25,2.45,2.25,1.99,1.99,"Candy,Chips/Snacks,Chocolate Bars,Cookies,Hot Food,Muffins,Salads,Sandwiches/Wraps",2.19,1.19,7,"https://web.fulcrumapp.com/photos/view?photos=7a9cfabe-cd6d-4ad3-8513-395eaa478403,eab8d2c6-7eba-4a7c-b8a8-2c76ac3c711f,a2a47b87-005b-4ce3-978d-99cbe7b11610"
Point (-80.54491415619999373 43.46647323879999902),bf10a876-df99-44de-86dd-b24880b736c1,Common Ground (Grebel?s self serve coffee and snack bar),2018-09-25 17:18:27 EDT,,Owen Patrick Nowitsky,Manpreet Chahal,43.46647324,-80.54491416,Common Ground (Grebel?s self serve coffee and snack bar),200 Westmount Rd N Waterloo ON N2L 3G5 CA,16:50,Conrad,2nd floor atrium,yes,,61,yes,no,no,no,1.5,1.5,1.5,1.5,0,1.5,"Chips/Snacks,Chocolate Bars",0,0,8,"https://web.fulcrumapp.com/photos/view?photos=f18018fe-67cd-445e-accc-320ba73038a5,4a755097-227a-4299-8a6a-6882e5271856,7a65a4e2-4d90-47ac-8074-f92c05efd0de"
Point (-80.54321767419999389 43.47265330989999654),c52c494a-5610-406e-99c6-7acda5fbf32e,DC Tim Hortons,2018-09-27 18:58:22 EDT,,Pia Colynn Poblete,Pia Colynn Poblete,43.47265331,-80.54321767,DC Tim Hortons,200 University Ave W Waterloo ON N2L CA,16:23,David Centre,,yes,no,55,yes,yes,yes,no,1.49,1.69,1.89,1.69,1.69,2.39,"Chips/Snacks,Chocolate Bars,Cookies,Donuts,Hot Food,Muffins,Salads,Sandwiches/Wraps",1.19,0.99,7,https://web.fulcrumapp.com/photos/view?photos=83a243f4-1e15-4f7f-8c47-780d0d4e544e
Point (-80.54221862250000186 43.47279105420000178),ccf1fa62-1838-4534-b97f-a710f7613009,DC Tim Hortons Express,2018-09-27 18:58:20 EDT,,Pia Colynn Poblete,Pia Colynn Poblete,43.47279105,-80.54221862,DC Tim Hortons Express,Ring Rd Waterloo ON N2L CA,16:08,Davis Centre,N/A,yes,no,63,yes,yes,yes,no,1.49,1.69,1.89,1.69,1.69,2.39,"Chips/Snacks,Cookies,Donuts,Hot Food,Muffins,Salads,Sandwiches/Wraps",1.39,0.99,5,https://web.fulcrumapp.com/photos/view?photos=3f4feb8f-b771-4cbb-8b2e-91ada9ea5efb
Point (-80.54283362869999507 43.46834466469999825),eff613f3-3514-4319-9cf2-efa71abcb1f9,ES Coffee Shop,2018-09-26 20:30:24 EDT,,Joonwoo Kim,Joonwoo Kim,43.46834466,-80.54283363,ES Coffee Shop,Ring Rd Waterloo ON N2L CA,14:51,EV1,138,no,yes,0,yes,no,no,no,1,1,1,0.75,2,2,"Candy,Chips/Snacks,Chocolate Bars,Muffins,Salads,Samosas,Sandwiches/Wraps",1.5,1.25,10,https://web.fulcrumapp.com/photos/view?photos=62c3c15f-3d1f-4e7b-ae95-c99b7681763e
Point (-80.54552930410000045 43.46897740850000247),3bb30b69-ccc1-48b5-9174-6641b64a70ec,Funcken Cafe,2018-09-25 17:08:03 EDT,,Ruo Yu Wang,Ruo Yu Wang,43.46897741,-80.5455293,Funcken Cafe,200 University Ave W Waterloo ON N2L CA,17:00,Funcken Cafe,,no,no,45,yes,no,yes,yes,0,2.05,2.25,0,0,0,,0,0,8,https://web.fulcrumapp.com/photos/view?photos=e4ed6553-90da-4bcd-9829-6ab1b3d31463
Point (-80.54176180000000329 43.46798009999999834),f2a22095-126b-48e0-b77d-99edc26b8d11,H3 cafe,2018-09-26 00:51:44 EDT,,Fernando Fuentes Martins,Fernando Fuentes Martins,43.4679801,-80.5417618,H3 cafe,Waterloo Ontario N2L 3G1 Canada,10:22,Hagey hall,,,,0,yes,yes,yes,no,2.05,2.3,0,2.99,2.79,1.99,"Candy,Chips/Snacks,Chocolate Bars,Cookies,Muffins,Salads,Sandwiches/Wraps",2.19,1.19,7,https://web.fulcrumapp.com/photos/view?photos=275d061f-fe85-4215-b5f1-fa7fd48e1237
